ID,TENURE_QUINTILES,payment_pr1q_mean_diff_days,payment_pr1q_num_payments,FUND_VALUE2,Mode_Month,payment_pr1q_med_diff_days,payment_pr1q_sd_diff_days,payment_pr1q_num_past_due,payment_pr1q_num_past_due_30d,Mode_Annual,COMMENCEMENT_MONTH,payment_pr1q_sd_pay_amt,ABC_ANNUAL_PREMIUM2,Mode_Quarter,age,payment_pr1q_sd_pay_date,NO_OF_CHILDREN2,TERM,Mode_Half,lapse_var
41,2,-60.86227752,4.320719646,-3962157.157,1,36.87976795,-74.11844357,2.083217476,0,0,3,6573.65437,19031.64425,0,25.7211197,2.395736363,0,17.05506872,0,1
52,1,25.17242209,3.82770603,3705537.698,1,4.179636047,2.012341797,1.810385712,1,0,11,-2805.455617,68059.37956,0,31.65772506,6.126351044,0,21.31675081,0,1
76,0,50.93271569,5.627575021,-9868552.796,1,62.26589551,4.278490016,3.183504107,1,0,10,3492.789921,51242.43352,1,47.07572251,9.346654304,0,21.35971359,0,1
88,0,10.1851836,1.61744147,5549618.714,0,28.85316275,31.98696664,2.442339368,0,0,3,11845.2051,101636.0822,1,61.12561787,-0.351695515,0,23.20747942,0,1
95,1,-23.41674722,4.881118343,-3028351.954,1,66.72595206,-32.45519351,3.529818915,1,0,8,5414.395398,99512.05826,0,52.07466164,4.109105716,2,23.36286157,0,1
140,1,-99.21859075,2.708882577,803277.0519,1,29.98168336,22.43564362,3.14264446,0,0,9,4941.303475,-2854.654602,0,32.07474966,1.165460188,0,14.41983604,0,1
166,2,7.135207433,3.862545025,-2.00E+07,1,6.264138102,-33.46915254,2.688745897,1,0,12,-1271.827894,26011.54789,1,40.70944601,1.656548819,0,18.66690395,0,1
187,0,-21.56380625,4.937809903,1.18E+07,1,47.33245545,-22.31249395,2.717226681,NA,0,9,-8170.509961,15859.7086,0,26.77937674,15.57969614,0,16.7847866,0,1
234,0,44.60779754,4.562786215,2.33E+07,1,-16.93649713,-12.84982828,2.55846636,0,0,4,6269.546067,-21519.83179,0,41.7461643,4.113838908,2,11.90135215,0,1
245,0,13.41863411,1.909991712,1.00E+07,1,19.89723963,-38.2662291,0.334314347,0,0,4,-2827.903126,-58712.58481,0,41.08565088,8.046626665,0,10.96323022,0,1
256,0,-21.57837984,6.098888168,1.41E+07,0,64.48949898,9.809822158,0.328438206,0,0,11,-5318.222155,146190.3336,0,46.00765506,8.561753683,NA,24.65335159,0,1
257,1,0.224743759,3.611854805,-1.08E+07,1,74.02329476,5.515001984,1.801112425,1,0,7,15436.68587,-69882.64597,0,39.20266018,5.021114663,0,9.798689642,0,1
281,0,-2.081402213,4.268291928,-9364735.833,1,50.30754491,-76.87265664,2.221971438,0,0,6,2744.900207,18518.01758,1,37.83201451,4.325677603,0,14.46798316,0,1
